stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10827,10827,"71st Street & Cregier","71st Street & Cregier, Westbound, Northside of the Street",41.766237,-87.581053,0,,1
10828,10828,"71st Street & Cornell","71st Street & Cornell, Westbound, Northeast Corner",41.766205,-87.584138,0,,1
10829,10829,"71st Street & East End","71st Street & East End, Westbound, Northeast Corner",41.766222,-87.582585,0,,1
10830,10830,"71st Street & Stony Island","71st Street & Stony Island, Westbound, Northeast Corner",41.766197,-87.585703,0,,1
10831,10831,"71st Street & Stony Island","71st Street & Stony Island, Westbound, Northwest Corner",41.7661853,-87.58660186,0,,1
10832,10832,"71st Street & Dante","71st Street & Dante, Westbound, Northeast Corner",41.766173,-87.589265,0,,1
10833,10833,"71st Street & Dorchester","71st Street & Dorchester, Westbound, Northeast Corner",41.7661,-87.59076,0,,1
10834,10834,"1270 E 71st Street","1270 E 71st Street, Westbound, Northeast Corner",41.76608,-87.593355,0,,1
10835,10835,"71st Street & Woodlawn","71st Street & Woodlawn, Westbound, Northeast Corner",41.766087,-87.594905,0,,1
10836,10836,"71st Street & Greenwood","71st Street & Greenwood, Westbound, Northside of the Street",41.76595,-87.59846,0,,1
10837,10837,"71st Street & Ellis","71st Street & Ellis, Westbound, Northside of the Street",41.765913,-87.600655,0,,1
10838,10838,"71st Street & Drexel","71st Street & Drexel, Westbound, Northside of the Street",41.765878,-87.603047,0,,1
10839,10839,"71st Street & Cottage Grove/S. Chicago","71st Street & Cottage Grove/S. Chicago, Westbound, Northeast Corner",41.76594718,-87.60528103,0,,1
10840,10840,"71st Street & Cottage Grove/S. Chicago","71st Street & Cottage Grove/S. Chicago, Westbound, Northwest Corner",41.76592888,-87.60633362,0,,1
10841,10841,"71st Street & Langley","71st Street & Langley, Westbound, Northside of the Street",41.765905,-87.608825,0,,1
10842,10842,"71st Street & St. Lawrence","71st Street & St. Lawrence, Westbound, Northeast Corner",41.765858,-87.610258,0,,1
10845,10845,"71st Street & King Drive","71st Street & King Drive, Westbound, Northeast Corner",41.765773,-87.615075,0,,1
10846,10846,"71st Street & Calumet","71st Street & Calumet, Westbound, Northeast Corner",41.765735,-87.616658,0,,1
10847,10847,"71st Street & Prairie","71st Street & Prairie, Westbound, Northeast Corner",41.765717,-87.618247,0,,1
10849,10849,"71st Street & Michigan","71st Street & Michigan, Westbound, Northeast Corner",41.765643,-87.621462,0,,1
10850,10850,"71st Street & State","71st Street & State, Westbound, Northeast Corner",41.76557,-87.624642,0,,1
10851,10851,"75th Street & Lake Front Terminal","75th Street & Lake Front Terminal, Westbound, Northside of the Street",41.761487,-87.55571,0,,1
10855,10855,"75th Street & Kingston","75th Street & Kingston, Westbound, Northeast Corner",41.75908376,-87.5630154,0,,1
10856,10856,"75th Street & Phillips","75th Street & Phillips, Westbound, Northeast Corner",41.75906573,-87.56461656,0,,1
10857,10857,"75th Street & Yates","75th Street & Yates, Westbound, Northeast Corner",41.75904507,-87.56625726,0,,1
10858,10858,"75th Street & Crandon","75th Street & Crandon, Westbound, Northeast Corner",41.75901618,-87.56871572,0,,1
10859,10859,"75th Street & Paxton","75th Street & Paxton, Westbound, Northeast Corner",41.75899086,-87.57114101,0,,1
10860,10860,"75th Street & Clyde","75th Street & Clyde, Westbound, Northeast Corner",41.758993,-87.57360567,0,,1
10861,10861,"75th Street & Jeffery","75th Street & Jeffery, Westbound, Northeast Corner",41.75893474,-87.57601854,0,,1
10862,10862,"75th Street & Euclid","75th Street & Euclid, Westbound, Northeast Corner",41.75894102,-87.57730847,0,,1
10863,10863,"75th Street & Constance","75th Street & Constance, Westbound, Northside of the Street",41.75889256,-87.57978683,0,,1
10864,10864,"75th Street & Cregier","75th Street & Cregier, Westbound, Northside of the Street",41.7588933,-87.5810091,0,,1
10865,10865,"75th Street & East End","75th Street & East End, Westbound, Northeast Corner",41.75885849,-87.58332809,0,,1
10866,10866,"75th Street & Stony Island","75th Street & Stony Island, Westbound, Northeast Corner",41.75882385,-87.58556166,0,,1
10867,10867,"75th Street & Stony Island","75th Street & Stony Island, Westbound, Northwest Corner",41.75883947,-87.58651807,0,,1
10868,10868,"75th Street & Blackstone","75th Street & Blackstone, Westbound, Northeast Corner",41.75881661,-87.58827294,0,,1
10870,10870,"75th Street & Kimbark","75th Street & Kimbark, Westbound, Northeast Corner",41.75877555,-87.59311105,0,,1
10872,10872,"75th Street & Greenwood","75th Street & Greenwood, Westbound, Northeast Corner",41.75872689,-87.59788753,0,,1
10873,10873,"75th Street & Ellis","75th Street & Ellis, Westbound, Northeast Corner",41.75870706,-87.60040696,0,,1
10875,10875,"75th Street & Drexel","75th Street & Drexel, Westbound, Northeast Corner",41.75868373,-87.60279733,0,,1
10876,10876,"75th Street & Cottage Grove","75th Street & Cottage Grove, Westbound, Northeast Corner",41.75865817,-87.60520987,0,,1
10877,10877,"75th Street & Langley","75th Street & Langley, Westbound, Northeast Corner",41.75859936,-87.60773701,0,,1
10878,10878,"75th Street & St. Lawrence","75th Street & St. Lawrence, Westbound, Northeast Corner",41.75855511,-87.61014218,0,,1
10879,10879,"75th Street & Eberhart","75th Street & Eberhart, Westbound, Northeast Corner",41.75851229,-87.6125518,0,,1
10881,10881,"75th Street & Prairie","75th Street & Prairie, Westbound, Northeast Corner",41.75842462,-87.61819045,0,,1
10882,10882,"75th Street & Michigan","75th Street & Michigan, Westbound, Northeast Corner",41.75837262,-87.62139445,0,,1
10883,10883,"75th Street & State","75th Street & State, Westbound, Northeast Corner",41.758303,-87.624492,0,,1
10884,10884,"75th Street & Lafayette","75th Street & Lafayette, Westbound, Northwest Corner",41.75826132,-87.62670463,0,,1
10885,10885,"75th Street & Perry","75th Street & Perry, Westbound, Northeast Corner",41.75824295,-87.62792736,0,,1
10886,10886,"75th Street & Wentworth","75th Street & Wentworth, Westbound, Northeast Corner",41.75821571,-87.62952558,0,,1
10889,10889,"75th Street & Stewart","75th Street & Stewart, Westbound, Northeast Corner",41.75813335,-87.63441652,0,,1
10890,10890,"75th Street & Eggleston","75th Street & Eggleston, Westbound, Northeast Corner",41.7581186,-87.63557959,0,,1
10891,10891,"Eggleston & 74th Street","Eggleston & 74th Street, Northbound, Southeast Corner",41.75980486,-87.6356741,0,,1
10892,10892,"74th Street & Parnell","74th Street & Parnell, Westbound, Northside of the Street",41.75989204,-87.6384219,0,,1
10893,10893,"74th Street & Lowe","74th Street & Lowe, Westbound, Northeast Corner",41.75983348,-87.64053723,0,,1
10894,10894,"74th Street & Union","74th Street & Union, Westbound, Northeast Corner",41.75983447,-87.64173924,0,,1
10895,10895,"74th Street & Halsted","74th Street & Halsted, Westbound, Northeast Corner",41.75981505,-87.6441227,0,,1
10896,10896,"74th Street & Peoria","74th Street & Peoria, Westbound, Northeast Corner",41.75976556,-87.64661481,0,,1
10897,10897,"74th Street & Morgan","74th Street & Morgan, Westbound, Northeast Corner",41.75969865,-87.64890242,0,,1
10898,10898,"74th Street & Aberdeen","74th Street & Aberdeen, Westbound, Northeast Corner",41.75969892,-87.65134782,0,,1
10899,10899,"1330 W 76th Street","1330 W 76th Street, Westbound, Northside of the Street",41.75596989,-87.6577963,0,,1
10900,10900,"74th Street & Loomis","74th Street & Loomis, Westbound, Northwest Corner",41.75957419,-87.65920513,0,,1
10901,10901,"74th Street & Bishop","74th Street & Bishop, Westbound, Northeast Corner",41.75955475,-87.66030683,0,,1
10902,10902,"74th Street & Ashland","74th Street & Ashland, Westbound, Northeast Corner",41.7595111,-87.66345489,0,,1
10903,10903,"74th Street & Paulina","74th Street & Paulina, Westbound, Northeast Corner",41.75946591,-87.6659492,0,,1
10904,10904,"74th Street & Wood","74th Street & Wood, Westbound, Northeast Corner",41.75946702,-87.66846784,0,,1
10905,10905,"74th Street & Wolcott","74th Street & Wolcott, Westbound, Northeast Corner",41.75941789,-87.67074668,0,,1
10906,10906,"74th Street & Damen","74th Street & Damen, Westbound, Northeast Corner",41.759391,-87.67323914,0,,1
10907,10907,"74th Street & Damen Terminal","74th Street & Damen Terminal, Southbound, Bus Terminal",41.75952377,-87.67375364,0,,1
10908,10908,"74th Street & Damen","74th Street & Damen, Eastbound, Southeast Corner",41.75927254,-87.67320142,0,,1
10909,10909,"74th Street & Wolcott","74th Street & Wolcott, Eastbound, Southside of the Street",41.7592666,-87.6707094,0,,1
10910,10910,"74th Street & Wood","74th Street & Wood, Eastbound, Southside of the Street",41.75931,-87.668539,0,,1
10911,10911,"74th Street & Paulina","74th Street & Paulina, Eastbound, Southside of the Street",41.759344,-87.666105,0,,1
10912,10912,"74th Street & Ashland","74th Street & Ashland, Eastbound, Southwest Corner",41.75939346,-87.66384737,0,,1
10913,10913,"74th Street & Bishop","74th Street & Bishop, Eastbound, Southside of the Street",41.759421,-87.660391,0,,1
10914,10914,"74th Street & Loomis","74th Street & Loomis, Eastbound, Southwest Corner",41.759438,-87.658923,0,,1
10915,10915,"76th Street & Loomis","76th Street & Loomis, Eastbound, Southeast Corner",41.75583159,-87.65861346,0,,1
10916,10916,"Racine & 76th Street","Racine & 76th Street, Northbound, Northeast Corner",41.75651946,-87.65378542,0,,1
10917,10917,"74th Street & Aberdeen","74th Street & Aberdeen, Eastbound, Southwest Corner",41.759546,-87.651594,0,,1
10918,10918,"74th Street & Morgan","74th Street & Morgan, Eastbound, Southwest Corner",41.759587,-87.649208,0,,1
10919,10919,"74th Street & Peoria","74th Street & Peoria, Eastbound, Southwest Corner",41.759611,-87.646774,0,,1
10920,10920,"74th Street & Halsted","74th Street & Halsted, Eastbound, Southwest Corner",41.75967441,-87.6444194,0,,1
10921,10921,"74th Street & Union","74th Street & Union, Eastbound, Southwest Corner",41.759728,-87.641899,0,,1
10922,10922,"74th Street & Lowe","74th Street & Lowe, Eastbound, Southwest Corner",41.759747,-87.640668,0,,1
10923,10923,"74th Street & Parnell","74th Street & Parnell, Eastbound, Southwest Corner",41.75977789,-87.63864283,0,,1
10924,10924,"74th Street & Eggleston","74th Street & Eggleston, Eastbound, Southwest Corner",41.75981468,-87.63592114,0,,1
10926,10926,"75th Street & Stewart","75th Street & Stewart, Eastbound, Southwest Corner",41.75798,-87.634527,0,,1
10928,10928,"75th Street & Vincennes","75th Street & Vincennes, Eastbound, Southwest Corner",41.75805921,-87.63165333,0,,1
10929,10929,"75th Street & Wentworth","75th Street & Wentworth, Eastbound, Southwest Corner",41.75809349,-87.62972128,0,,1
10930,10930,"75th Street & Perry","75th Street & Perry, Eastbound, Southwest Corner",41.758096,-87.628063,0,,1
10931,10931,"75th Street & Lafayette","75th Street & Lafayette, Eastbound, Southwest Corner",41.758046,-87.626593,0,,1
10933,10933,"75th Street & Michigan","75th Street & Michigan, Eastbound, Southwest Corner",41.758201,-87.621634,0,,1
10934,10934,"75th Street & Prairie","75th Street & Prairie, Eastbound, Southwest Corner",41.75829177,-87.61839088,0,,1
10936,10936,"75th Street & Eberhart","75th Street & Eberhart, Eastbound, Southwest Corner",41.75839233,-87.61276495,0,,1
10937,10937,"75th Street & St. Lawrence","75th Street & St. Lawrence, Eastbound, Southwest Corner",41.75841336,-87.61035081,0,,1
10938,10938,"75th Street & Langley","75th Street & Langley, Eastbound, Southwest Corner",41.75847934,-87.60793922,0,,1
10939,10939,"75th Street & Cottage Grove","75th Street & Cottage Grove, Eastbound, Southwest Corner",41.7585108,-87.60562396,0,,1
10940,10940,"75th Street & Drexel","75th Street & Drexel, Eastbound, Southwest Corner",41.75852099,-87.60304842,0,,1
10942,10942,"75th Street & Ellis","75th Street & Ellis, Eastbound, Southwest Corner",41.75855099,-87.60064842,0,,1
10943,10943,"75th Street & Greenwood","75th Street & Greenwood, Eastbound, Southwest Corner",41.758547,-87.598232,0,,1
10944,10944,"75th Street & South Chicago","75th Street & South Chicago, Eastbound, Southwest Corner",41.75863278,-87.59574573,0,,1
10945,10945,"75th Street & Kimbark","75th Street & Kimbark, Eastbound, Southwest Corner",41.75862883,-87.59333997,0,,1
10946,10946,"75th Street & Dorchester","75th Street & Dorchester, Eastbound, Southwest Corner",41.75865151,-87.59091816,0,,1
10947,10947,"75th Street & Blackstone","75th Street & Blackstone, Eastbound, Southwest Corner",41.758669,-87.58849,0,,1
10948,10948,"75th Street & Stony Island","75th Street & Stony Island, Eastbound, Southwest Corner",41.75869246,-87.58629408,0,,1
10949,10949,"75th Street & Stony Island","75th Street & Stony Island, Eastbound, Southeast Corner",41.75871541,-87.58542304,0,,1
10950,10950,"75th Street & East End","75th Street & East End, Eastbound, Southwest Corner",41.75873234,-87.58356968,0,,1
10951,10951,"75th Street & Cregier","75th Street & Cregier, Eastbound, Southwest Corner",41.7587123,-87.58105756,0,,1
10953,10953,"75th Street & Euclid","75th Street & Euclid, Eastbound, Southside of the Street",41.7587785,-87.57749171,0,,1
10954,10954,"75th Street & Jeffery","75th Street & Jeffery, Eastbound, Southwest Corner",41.75881652,-87.57634835,0,,1
10955,10955,"75th Street & Clyde","75th Street & Clyde, Eastbound, Southwest Corner",41.75883618,-87.57373236,0,,1
10956,10956,"75th Street & Paxton","75th Street & Paxton, Eastbound, Southwest Corner",41.75886118,-87.57133436,0,,1
10957,10957,"75th Street & Crandon","75th Street & Crandon, Eastbound, Southwest Corner",41.758898,-87.568932,0,,1
10958,10958,"75th Street & Yates","75th Street & Yates, Eastbound, Southwest Corner",41.758923,-87.566442,0,,1
10959,10959,"75th Street & Phillips","75th Street & Phillips, Eastbound, Southwest Corner",41.758947,-87.565232,0,,1
10960,10960,"75th Street & Kingston","75th Street & Kingston, Eastbound, Southwest Corner",41.75896372,-87.56283951,0,,1
10962,10962,"75th Street & Coles","75th Street & Coles, Eastbound, Southwest Corner",41.75977394,-87.55865987,0,,1
10963,10963,"75th Street & South Shore","75th Street & South Shore, Eastbound, Southwest Corner",41.76048839,-87.5572441,0,,1
10964,10964,"Diversey & Neva Terminal","Diversey & Neva Terminal, Eastbound, Bus Terminal",41.93106031,-87.80531576,0,,1
10965,10965,"Diversey & Nordica","Diversey & Nordica, Eastbound, Southwest Corner",41.930737,-87.802931,0,,1
10966,10966,"Diversey & Sayre","Diversey & Sayre, Eastbound, Southwest Corner",41.930758,-87.80109,0,,1
10967,10967,"Diversey & Newland","Diversey & Newland, Eastbound, Southwest Corner",41.930779,-87.799252,0,,1
10968,10968,"Diversey & Newcastle","Diversey & Newcastle, Eastbound, Southwest Corner",41.930807,-87.796799,0,,1
10969,10969,"Diversey & Oak Park","Diversey & Oak Park, Eastbound, Southwest Corner",41.930821,-87.795572,0,,1
10970,10970,"Diversey & Normandy","Diversey & Normandy, Eastbound, Southwest Corner",41.930849,-87.793133,0,,1
10971,10971,"6600 W Diversey","6600 W Diversey, Eastbound, Southwest Corner",41.93087131,-87.79073082,0,,1
